gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.37,0.152,0.49,1.0,0.03212852,64793,0.031221630060811658
0.336,0.129,0.444,0.708,0.041394833,85012,0.040964505652303806
0.135,0.288,0.789,0.633,0.479342097,990253,0.4771705713982826
0.115,0.219,0.443,0.751,0.589478711,1208504,0.5823385985370508
0.0,0.082,0.704,0.889,0.987043063,2044537,0.9851955899501749
0.139,0.381,0.631,0.883,0.475061667,969044,0.46695064714782725
0.138,0.211,0.637,1.0,0.477549549,974498,0.4695787515781155
0.038,0.082,0.941,0.924,0.987476744,2020920,0.9738153291635747
0.0,0.378,0.776,0.886,0.987385671,2047749,0.9867433478214778
0.062,0.0,0.511,0.928,0.980602903,2030945,0.9786460491697426
0.082,0.077,1.0,0.759,0.987156302,2019236,0.973003864576005
0.556,0.029,0.723,0.964,0.003463182,10137,0.004884689147383942
0.076,0.315,0.847,0.606,0.974147323,1994450,0.9610603008779622
0.087,0.372,0.587,0.593,0.966956896,1974598,0.9514942705974191
0.0,0.042,0.846,0.858,0.987435785,2047749,0.9867433478214778
0.215,0.0,0.99,0.959,0.220943506,453893,0.21871620905332345
0.281,0.405,0.6,0.507,0.065912737,164811,0.07941703690140031
0.133,0.117,1.0,0.841,0.4909951,1008907,0.4861593246147471
0.109,0.418,0.674,0.51,0.543133652,1191990,0.5743810414116786
0.031,0.169,0.518,0.713,0.980295953,2003275,0.9653127800853869
0.052,0.0,0.917,0.854,0.987450723,2047737,0.9867375654134903
0.342,0.417,0.433,0.854,0.036324141,74063,0.03568854023110357
0.071,0.273,0.699,0.99,0.987020897,2017422,0.972129757235238
0.224,0.196,0.981,0.737,0.194522226,395165,0.19041710436282683
0.112,0.141,0.637,0.767,0.648532545,1321448,0.6367626225147692
0.307,0.23,0.744,1.0,0.077380703,159140,0.07668436726000598
0.163,0.26,0.572,0.576,0.404482525,847779,0.40851700509815636
0.244,0.053,0.456,0.784,0.139767615,283852,0.13677900600406695
0.0,0.047,0.839,0.921,0.987451687,2047749,0.9867433478214778
0.0,0.423,0.645,0.513,0.590558094,1223954,0.5897834488208706
0.198,0.395,0.695,0.442,0.066889482,187065,0.09014051251409462
0.449,0.28,0.454,0.556,0.000578723,2360,0.001137206904195137
0.24,0.172,0.309,0.664,0.083476809,169222,0.08154255370411419
0.25,0.092,0.4,0.745,0.116545453,235309,0.11338772009290402
0.1,0.403,0.426,0.491,0.614662555,1297485,0.625215635631198
