gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.396,0.451,0.502,0.803,0.0159715,28217,0.013596850515116178
0.0,0.408,0.713,0.428,0.232015377,478052,0.23035764193402272
0.229,0.192,0.498,0.778,0.174515566,359257,0.17311421219509845
0.2,0.08,0.523,0.889,0.293833203,609032,0.29347262511685285
0.26,0.0,0.502,0.942,0.122592409,256688,0.12368956178984802
0.0,0.043,0.858,0.926,0.987461324,2048171,0.9869466958357025
0.139,0.142,0.829,0.695,0.474753754,981142,0.47278027813382417
0.0,0.0,0.722,0.917,0.999690641,2067627,0.9963219066526604
0.0,0.185,0.565,0.698,0.982941406,2036340,0.981245723427426
0.038,0.386,0.799,0.525,0.87494573,1793799,0.864373138787429
0.454,0.303,0.46,0.534,0.000669314,2788,0.0013434461224135772
0.235,0.498,0.816,0.755,0.066755041,88430,0.04261152819405761
0.0,0.047,0.683,0.832,0.986862363,2042410,0.9841706581344024
0.022,0.0,0.84,0.924,0.987452169,2047573,0.9866585391709954
0.285,0.323,0.361,0.514,0.038636141,95122,0.04583618438171603
0.179,0.264,0.551,0.617,0.397763364,825051,0.39756512436995844
0.434,0.301,0.772,0.632,0.016262548,32946,0.015875601129497027
0.257,0.001,0.293,0.894,0.042917053,91432,0.04405809392558041
0.0,0.375,0.772,0.461,0.497733536,1032618,0.4975848809305822
0.331,0.093,0.365,0.808,0.01654685,33412,0.016100151306342337
0.036,0.344,0.668,0.556,0.930935368,1907852,0.9193315536366528
0.172,0.014,0.533,0.951,0.413431287,852457,0.4107711804785906
-0.0,0.049,0.626,0.939,0.986256655,2041033,0.9835071268178445
0.19,0.197,0.538,0.639,0.364526066,755487,0.3640445052668099
0.0,0.251,0.746,0.585,0.964672843,1997936,0.9627400903983115
0.032,0.373,0.671,0.527,0.879486368,1802031,0.8683398706668081
0.295,0.142,0.396,0.762,0.060518229,121878,0.05872902672436225
0.017,0.141,0.707,0.737,0.986496625,2018066,0.9724400797972302
0.197,0.444,0.856,0.813,0.246934961,462762,0.22298989042336864
0.0,0.142,0.735,0.739,0.986702383,2042394,0.9841629482570858
0.289,0.338,0.571,0.848,0.092532547,186234,0.08974008076096489
0.103,0.0,0.616,0.873,0.836316334,1729396,0.8333394369862089
0.416,0.375,0.508,0.546,0.010331241,30323,0.014611663116910652
0.013,0.237,0.689,0.663,0.983950919,2012974,0.9699864113412295
0.207,0.282,0.506,0.555,0.217265893,484284,0.23336063914882954
0.296,0.333,0.446,0.625,0.070071254,147732,0.07118722473328642
0.0,0.2,0.793,0.708,0.986383868,2043638,0.9847623912184498
0.0,0.043,0.811,0.861,0.987413137,2046725,0.9862499156732168
0.252,0.16,0.524,1.0,0.13497255,280080,0.1349614024266839
0.072,0.347,0.63,0.489,0.693835324,1423889,0.6861255939014871
0.08,0.015,0.631,0.884,0.986323153,2017731,0.9722786542409144
0.361,0.065,0.562,0.856,0.041634321,83926,0.04044119772944113
0.0,0.406,0.744,0.548,0.917801103,1903665,0.9173139751163709
0.353,-0.0,0.357,0.837,0.001847962,4122,0.001986257143683201
0.164,0.247,0.57,0.716,0.425570013,875113,0.42168836675886395
0.152,0.221,1.0,0.616,0.441010977,923171,0.44484594701386815
0.045,0.0,0.645,0.869,0.986500962,2041504,0.9837340863313513
0.467,0.142,0.697,0.856,0.011377857,18250,0.008794078814220868
0.167,0.385,0.734,0.566,0.394791686,836475,0.4030699767739946
0.0,0.24,0.789,0.597,0.970617162,2011114,0.9690901381031775
0.132,0.369,0.568,0.532,0.417807609,915373,0.44108834555670134
0.213,0.222,0.513,0.747,0.221580053,457595,0.2205000819174465
0.017,0.364,0.886,0.473,0.624554815,1282506,0.6179977448608849
0.348,0.203,0.394,0.755,0.021665248,43349,0.020888466987269066
0.053,0.01,0.497,0.885,0.979233435,2009041,0.9680912271233484
0.266,0.023,0.608,0.814,0.12157615,246309,0.11868826074805085
0.339,0.093,0.799,0.743,0.05529623,111564,0.05375904705916367
0.343,0.103,0.379,0.865,0.016782484,33644,0.016211944527432708
